Feature,Importance,Fold
market_urgency,1790519.6833599568,3.0
seconds_in_bucket,543026.4990944862,3.0
global_median_size,476119.7274276257,3.0
reference_price_wap_imb,393297.0379300594,3.0
global_std_price,317062.6298223495,3.0
matched_size_ret_10,314890.23977930547,3.0
imbalance_size_ret_10,284304.87213510275,3.0
weighted_wap,274557.23148059845,3.0
global_median_price,264768.6464054823,3.0
matched_size_shift_10,235596.82994186878,3.0
stock_id,235596.72857103348,3.0
rolling_std_diff_bid_size_10,233892.09358797074,3.0
global_ptp_price,231060.6056602478,3.0
rolling_std_diff_ask_size_10,229899.92193523646,3.0
imbalance_size_shift_10,214452.192231822,3.0
global_ptp_size,213213.50374114513,3.0
matched_imbalance,207755.82059321404,3.0
reference_price_bid_price_imb,202435.45255703927,3.0
ask_price_bid_price_reference_price_imb2,196272.70167353153,3.0
all_sizes_mean,195233.50571489334,3.0
global_std_size,195006.66314930917,3.0
rolling_diff_bid_size_10,194279.79073350428,3.0
rolling_diff_ask_size_10,193641.19229421616,3.0
bid_size_ema_20,186976.42890920638,3.0
imbalance_size_ret_5,184418.46150827408,3.0
ask_size_ema_20,180445.8042067051,3.0
reference_price_ask_price_imb,172872.40664355754,3.0
reference_price_shift_10,170631.3226130128,3.0
imbalance_size,160261.84610173703,3.0
imbalance_size_ret_3,158372.27229413987,3.0
mid_price*volume,157744.87336115836,3.0
imbalance_size_ret_1,155643.89241547586,3.0
price_pressure,151427.02495250702,3.0
near_price,150535.75588088034,3.0
matched_size_bid_size_imbalance_size_imb2,150213.1290607929,3.0
matched_size_ret_5,150003.79781241418,3.0
rolling_std_diff_bid_size_5,149419.52754707338,3.0
ask_price_wap_reference_price_imb2,149033.88348755837,3.0
rolling_std_diff_ask_size_5,147328.01621289254,3.0
all_sizes_std,147090.93934504985,3.0
rolling_diff_ask_price_10,146472.21820058822,3.0
imbalance_size_shift_5,144974.8166314125,3.0
near_price_ask_price_imb,142276.1102338791,3.0
far_price,140419.73230395318,3.0
bid_price_ema_20,139933.3983909607,3.0
rolling_std_diff_wap_10,139884.84664311408,3.0
all_prices_std,139213.75413103105,3.0
imbalance_size_shift_1,137884.1867348194,3.0
dow,137632.28132743837,3.0
bid_price_wap_reference_price_imb2,137369.03443102835,3.0
matched_size_shift_5,137314.0457912445,3.0
ask_price_ema_20,136780.04854211808,3.0
rolling_std_diff_bid_price_10,136472.04282226562,3.0
all_prices_kurt,136428.1426076889,3.0
matched_size_ask_size_imbalance_size_imb2,136105.03600361347,3.0
rolling_std_diff_ask_price_10,135477.95324206352,3.0
rolling_diff_bid_price_10,133773.63914260865,3.0
rolling_diff_wap_10,133386.92071170808,3.0
imbalance_momentum,132336.47749381064,3.0
rolling_diff_ask_size_5,131467.39851455687,3.0
matched_size,131065.03500657082,3.0
all_prices_mean,131047.38790397644,3.0
all_prices_skew,130961.87412152291,3.0
bid_price_wap_imb,130367.28331184387,3.0
near_price_bid_price_imb,128345.61462283134,3.0
near_price_wap_imb,127900.58311605453,3.0
rolling_diff_bid_size_5,126584.71827573776,3.0
imbalance_size_shift_3,126362.17201647759,3.0
imbalance_buy_sell_flag_shift_1,120003.33124747276,3.0
matched_size_ret_3,118631.92919050455,3.0
ask_size_ema_10,116745.10313773155,3.0
far_price_near_price_imb,113054.11158065796,3.0
ask_price_bid_price_wap_imb2,111960.53403153419,3.0
size_imbalance,110984.12125148773,3.0
bid_size_ema_10,110904.01416788102,3.0
matched_size_shift_3,110317.07456212044,3.0
weighted_wap_diff_10,109857.78733940124,3.0
all_sizes_skew,108384.09773278236,3.0
matched_size_bid_size_ask_size_imb2,106306.19810385704,3.0
rolling_std_diff_bid_size_3,106288.56676396728,3.0
matched_size_ret_1,106283.18714264632,3.0
rolling_std_diff_ask_size_3,105946.62306127549,3.0
liquidity_imbalance,102590.47284355163,3.0
matched_size_shift_1,102498.12358813286,3.0
ask_price,101363.03576049805,3.0
ask_price_bid_price_imb,101160.19034438134,3.0
ask_size,101023.19071679116,3.0
rolling_std_diff_bid_price_5,101003.83056848645,3.0
all_sizes_kurt,100971.97977643013,3.0
rolling_std_diff_wap_5,99846.22044472695,3.0
reference_price_shift_5,98936.61123527288,3.0
bid_price,98434.48647911548,3.0
ask_size_ema_5,97670.31620577424,3.0
ask_price_wap_imb,96843.23991320134,3.0
reference_price_near_price_imb,96519.79024906158,3.0
spread_depth_ratio,95910.0190068245,3.0
rolling_std_diff_ask_price_5,95116.69555301666,3.0
price_spread_diff_10,94647.72028326988,3.0
bid_size_ema_5,94270.0673502922,3.0
bid_size_ask_size_imbalance_size_imb2,90801.79309520722,3.0
bid_size,90481.50915004015,3.0
market_urgency_diff_10,89544.39750261306,3.0
time_to_market_close,87363.83254256248,3.0
reference_price_ret_10,86911.0044611454,3.0
rolling_diff_ask_size_3,86294.6108048439,3.0
rolling_diff_bid_size_3,85127.5094014883,3.0
reference_price,84735.67367615699,3.0
ask_price_ema_10,84430.9674753189,3.0
bid_price_ema_10,83779.86133503914,3.0
market_urgency_diff_3,83578.789138031,3.0
harmonic_imbalance,83577.07892968059,3.0
weighted_wap_diff_5,83407.64928154946,3.0
rolling_std_diff_bid_price_3,82920.53440275192,3.0
rolling_std_diff_ask_price_3,82348.6683576107,3.0
ask_size_diff_10,82252.36535116434,3.0
price_spread,81681.50475525856,3.0
market_urgency_diff_5,81665.88789300919,3.0
bid_size_diff_10,80571.62329306602,3.0
reference_price_shift_3,79931.94217686653,3.0
weighted_wap_diff_3,79452.09181417227,3.0
rolling_diff_ask_price_5,79385.03365440368,3.0
rolling_std_diff_wap_3,79050.83497831822,3.0
bid_price_ema_5,78905.81358118057,3.0
ask_price_ema_5,78490.06669445038,3.0
rolling_diff_wap_5,78334.6599032402,3.0
wap_momentum,77900.42758255005,3.0
wap_diff_3,77245.17883663178,3.0
imbalance_buy_sell_flag_shift_10,76384.12328481674,3.0
reference_price_ret_1,75606.53549900054,3.0
size_change_diff_10,74759.8272824049,3.0
size_change_diff_5,74756.18178720474,3.0
reference_price_shift_1,74732.84363832473,3.0
price_spread_diff_5,71672.51175317765,3.0
bid_size_diff_1,71591.43119044304,3.0
weighted_wap_diff_1,71398.8915468216,3.0
rolling_diff_bid_price_5,71377.43242368699,3.0
market_urgency_diff_1,70697.77642562389,3.0
imbalance_momentum_diff_10,70331.92978963853,3.0
ask_size_diff_5,69874.97082388401,3.0
ask_price_diff_1,68859.49046845436,3.0
ask_price_diff_10,68031.58676939011,3.0
mid_price,67970.36118016244,3.0
bid_size_diff_5,67716.90061044693,3.0
ask_size_diff_1,67436.58940310478,3.0
imbalance_momentum_diff_3,67339.01260018349,3.0
ask_size_diff_3,66839.79275112152,3.0
bid_size_diff_3,66785.80654189587,3.0
size_change_diff_3,65874.67541701793,3.0
wap_diff_1,65693.65275819301,3.0
imbalance_momentum_diff_5,65497.06443386078,3.0
ask_price_diff_3,65410.51220517159,3.0
price_spread_diff_3,65342.0573350668,3.0
depth_pressure,65105.79359574318,3.0
volume,63663.11768500805,3.0
bid_price_diff_10,63568.27913513184,3.0
bid_price_diff_1,63245.942396450046,3.0
reference_price_ret_5,62529.41122179032,3.0
reference_price_ret_3,62507.83185495138,3.0
bid_price_diff_3,61029.77276949883,3.0
spread_intensity,60412.93901441097,3.0
far_price_bid_price_imb,59628.70102186203,3.0
wap,58405.30480716228,3.0
far_price_ask_price_imb,57864.7497964859,3.0
imbalance_buy_sell_flag,57759.09761214256,3.0
wap_diff_5,57613.51777365208,3.0
wap_diff_10,57455.36734099388,3.0
imbalance_momentum_diff_1,56590.96676212549,3.0
rolling_diff_wap_3,55246.136780405046,3.0
reference_price_far_price_imb,52858.898281049725,3.0
bid_price_diff_5,52041.3009352684,3.0
ask_price_diff_5,51992.4947701931,3.0
rolling_diff_ask_price_3,51215.13951272964,3.0
far_price_wap_imb,49342.94958634376,3.0
rolling_diff_bid_price_3,49242.08613290787,3.0
micro_price,44864.50195360184,3.0
price_change_diff_10,42550.651997947694,3.0
minute,39122.53619432449,3.0
seconds,37005.43030123711,3.0
price_change_diff_5,34700.69314060211,3.0
relative_spread,34523.90870938301,3.0
price_change_diff_3,33329.71913537979,3.0
imbalance_buy_sell_flag_shift_3,32961.61950426102,3.0
imbalance_buy_sell_flag_shift_5,31448.461002922057,3.0
imbalance_buy_sell_flag_ret_10,23132.474975442885,3.0
stock_weights,20311.173390197753,3.0
price_spread_diff_1,11566.133064198493,3.0
imbalance_buy_sell_flag_ret_5,11483.483850336075,3.0
mid_price_movement,9139.823366355897,3.0
imbalance_buy_sell_flag_ret_3,7350.825265932083,3.0
imbalance_buy_sell_flag_ret_1,5935.496435117721,3.0
